CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn,ChurnFlag,AgeDataQualityFlag,TenureDataQualityFlag,AgeGroup,TenureSegment,MonthlyChargeBand,AnnualRevenue,ActualMonthlyRevenueLost,ActualAnnualRevenueLost,CustomerLifecycleStage
19,35,Male,98,49.59,Two-Year,Fiber Optic,4859.820000000001,Yes,No,0,Expected Range,Expected Range,35-44,73+ Months,Low,595.08,0.0,0.0,Loyal
20,30,Female,2,89.55,Month-to-Month,Fiber Optic,179.1,No,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,High,1074.6,89.55,1074.6,New
21,59,Female,6,73.56,One-Year,DSL,441.36,No,Yes,1,Expected Range,Expected Range,55-64,0-6 Months,Moderate,882.72,73.56,882.72,New
22,42,Female,10,30.48,Month-to-Month,No Internet,304.8,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Low,365.76,30.48,365.76,Developing
23,45,Male,10,102.4,Month-to-Month,DSL,1024.0,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Premium,1228.8000000000002,102.4,1228.8000000000002,Developing
24,30,Male,10,99.55,One-Year,Fiber Optic,995.5,Yes,Yes,1,Expected Range,Expected Range,25-34,7-12 Months,High,1194.6,99.55,1194.6,Developing
25,39,Male,47,79.36,One-Year,DSL,3729.92,Yes,No,0,Expected Range,Expected Range,35-44,25-48 Months,High,952.3199999999999,0.0,0.0,Established
26,46,Male,25,35.98,Two-Year,DSL,899.4999999999999,Yes,No,0,Expected Range,Expected Range,45-54,25-48 Months,Low,431.76,0.0,0.0,Established
27,33,Female,18,98.99,One-Year,Fiber Optic,1781.82,Yes,No,0,Expected Range,Expected Range,25-34,13-24 Months,High,1187.8799999999999,0.0,0.0,Developing
28,48,Male,7,82.53,Month-to-Month,No Internet,577.71,No,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,High,990.36,82.53,990.36,Developing
29,38,Female,34,100.38,Two-Year,DSL,3412.92,Yes,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,Premium,1204.56,100.38,1204.56,Established
30,42,Male,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,No,0,Expected Range,Expected Range,35-44,49-72 Months,High,1171.92,0.0,0.0,Loyal
31,38,Male,34,102.27,Month-to-Month,DSL,3477.18,No,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,Premium,1227.24,102.27,1227.24,Established
32,63,Female,0,76.62,Two-Year,DSL,0.0,Yes,Yes,1,Expected Range,Expected Range,55-64,0-6 Months,High,919.44,76.62,919.44,New
33,44,Female,20,42.63,Month-to-Month,Fiber Optic,852.6,Yes,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Low,511.56000000000006,42.63,511.56000000000006,Developing
34,34,Female,1,90.4,Two-Year,Fiber Optic,90.4,Yes,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,High,1084.8000000000002,90.4,1084.8000000000002,New
35,53,Female,5,85.84,Month-to-Month,DSL,429.2000000000001,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,High,1030.08,85.84,1030.08,New
36,32,Female,1,96.8,Month-to-Month,Fiber Optic,96.8,No,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,High,1161.6,96.8,1161.6,New
37,47,Male,18,45.29,Month-to-Month,DSL,815.22,Yes,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,Low,543.48,45.29,543.48,Developing
38,25,Female,23,47.55,One-Year,Fiber Optic,1093.65,Yes,No,0,Expected Range,Expected Range,25-34,13-24 Months,Low,570.5999999999999,0.0,0.0,Developing
39,31,Female,2,110.14,Month-to-Month,No Internet,220.28,No,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,Premium,1321.68,110.14,1321.68,New
40,46,Female,9,97.5,Month-to-Month,No Internet,877.5,No,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,High,1170.0,97.5,1170.0,Developing
41,52,Male,12,111.74,One-Year,Fiber Optic,1340.88,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Premium,1340.8799999999999,111.74,1340.8799999999999,Developing
42,46,Female,9,98.28,Two-Year,Fiber Optic,884.52,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,High,1179.3600000000001,98.28,1179.3600000000001,Developing
43,43,Male,2,83.74,Month-to-Month,No Internet,167.48,No,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,1004.8799999999999,83.74,1004.8799999999999,New
44,41,Male,10,88.87,Month-to-Month,DSL,888.7,Yes,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,High,1066.44,88.87,1066.44,Developing
45,30,Male,27,110.02,Month-to-Month,No Internet,2970.54,No,Yes,1,Expected Range,Expected Range,25-34,25-48 Months,Premium,1320.24,110.02,1320.24,Established
46,37,Male,1,82.09,Month-to-Month,No Internet,82.09,No,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,985.08,82.09,985.08,New
47,40,Female,1,86.92,Two-Year,DSL,86.92,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,1043.04,86.92,1043.04,New
48,55,Female,8,44.08,Two-Year,DSL,352.64,No,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,Low,528.96,44.08,528.96,Developing
49,48,Female,56,72.65,One-Year,No Internet,4068.400000000001,No,Yes,1,Expected Range,Expected Range,45-54,49-72 Months,Moderate,871.8000000000001,72.65,871.8000000000001,Loyal
50,27,Male,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,Yes,1,Expected Range,Expected Range,25-34,13-24 Months,High,1133.76,94.48,1133.76,Developing
51,48,Male,22,54.38,One-Year,DSL,1196.36,Yes,No,0,Expected Range,Expected Range,45-54,13-24 Months,Moderate,652.5600000000001,0.0,0.0,Developing
52,41,Male,8,48.2,One-Year,DSL,385.6,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Low,578.4000000000001,48.2,578.4000000000001,Developing
53,38,Female,18,58.24,Two-Year,Fiber Optic,1048.32,Yes,No,0,Expected Range,Expected Range,35-44,13-24 Months,Moderate,698.88,0.0,0.0,Developing
54,51,Male,0,51.74,One-Year,Fiber Optic,0.0,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,620.88,51.74,620.88,New
55,55,Female,20,49.34,One-Year,No Internet,986.8,No,Yes,1,Expected Range,Expected Range,55-64,13-24 Months,Low,592.08,49.34,592.08,Developing
56,54,Female,48,68.24,One-Year,No Internet,3275.5199999999995,No,Yes,1,Expected Range,Expected Range,45-54,25-48 Months,Moderate,818.8799999999999,68.24,818.8799999999999,Established
57,36,Male,18,111.71,Month-to-Month,DSL,2010.78,Yes,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Premium,1340.52,111.71,1340.52,Developing
58,41,Female,41,75.64,Two-Year,Fiber Optic,3101.24,Yes,No,0,Expected Range,Expected Range,35-44,25-48 Months,High,907.6800000000001,0.0,0.0,Established
59,48,Female,25,46.91,One-Year,Fiber Optic,1172.75,No,Yes,1,Expected Range,Expected Range,45-54,25-48 Months,Low,562.92,46.91,562.92,Established
60,54,Female,2,36.93,One-Year,Fiber Optic,73.86,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Low,443.15999999999997,36.93,443.15999999999997,New
61,40,Female,46,92.65,Month-to-Month,DSL,4261.900000000001,Yes,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,High,1111.8000000000002,92.65,1111.8000000000002,Established
62,43,Male,1,64.45,One-Year,No Internet,64.45,No,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Moderate,773.4000000000001,64.45,773.4000000000001,New
63,33,Male,15,103.96,One-Year,No Internet,1559.4,No,Yes,1,Expected Range,Expected Range,25-34,13-24 Months,Premium,1247.52,103.96,1247.52,Developing
64,33,Female,3,89.36,Month-to-Month,Fiber Optic,268.08,Yes,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,High,1072.32,89.36,1072.32,New
65,53,Female,0,101.66,Month-to-Month,Fiber Optic,0.0,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Premium,1219.92,101.66,1219.92,New
66,58,Male,10,54.48,One-Year,DSL,544.8,Yes,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,Moderate,653.76,54.48,653.76,Developing
67,44,Female,6,92.31,One-Year,Fiber Optic,553.86,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,1107.72,92.31,1107.72,New
68,55,Female,13,53.77,One-Year,Fiber Optic,699.01,Yes,No,0,Expected Range,Expected Range,55-64,13-24 Months,Moderate,645.24,0.0,0.0,Developing
69,48,Female,17,114.52,Month-to-Month,Fiber Optic,1946.84,Yes,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,Premium,1374.24,114.52,1374.24,Developing
70,38,Male,0,87.27,One-Year,No Internet,0.0,No,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,1047.24,87.27,1047.24,New
71,48,Female,2,59.21,Month-to-Month,Fiber Optic,118.42,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,710.52,59.21,710.52,New
72,60,Female,16,54.26,Month-to-Month,Fiber Optic,868.16,Yes,Yes,1,Expected Range,Expected Range,55-64,13-24 Months,Moderate,651.12,54.26,651.12,Developing
73,44,Male,8,47.18,Month-to-Month,No Internet,377.44,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Low,566.16,47.18,566.16,Developing
74,60,Male,26,92.52,Month-to-Month,DSL,2405.52,No,Yes,1,Expected Range,Expected Range,55-64,25-48 Months,High,1110.24,92.52,1110.24,Established
75,18,Female,21,49.68,Month-to-Month,Fiber Optic,1043.28,Yes,Yes,1,Expected Range,Expected Range,Under 25,13-24 Months,Low,596.16,49.68,596.16,Developing
76,53,Male,37,83.58,Month-to-Month,Fiber Optic,3092.46,Yes,Yes,1,Expected Range,Expected Range,45-54,25-48 Months,High,1002.96,83.58,1002.96,Established
77,45,Female,23,53.82,Month-to-Month,Fiber Optic,1237.86,No,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,Moderate,645.84,53.82,645.84,Developing
78,42,Female,11,89.58,Month-to-Month,No Internet,985.38,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,High,1074.96,89.58,1074.96,Developing
79,45,Male,22,103.34,One-Year,Fiber Optic,2273.48,Yes,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,Premium,1240.08,103.34,1240.08,Developing
80,25,Female,6,100.02,Month-to-Month,No Internet,600.12,No,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,Premium,1200.24,100.02,1200.24,New
81,42,Male,7,98.48,Month-to-Month,Fiber Optic,689.36,No,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,High,1181.76,98.48,1181.76,Developing
82,48,Female,31,46.9,Two-Year,Fiber Optic,1453.9,No,Yes,1,Expected Range,Expected Range,45-54,25-48 Months,Low,562.8,46.9,562.8,Established
83,59,Male,11,37.95,Month-to-Month,No Internet,417.4500000000001,No,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,Low,455.40000000000003,37.95,455.40000000000003,Developing
84,39,Female,32,92.91,One-Year,DSL,2973.12,No,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,High,1114.92,92.91,1114.92,Established
85,36,Male,34,63.15,Month-to-Month,DSL,2147.1,Yes,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,Moderate,757.8,63.15,757.8,Established
86,39,Male,38,68.91,Month-to-Month,Fiber Optic,2618.58,Yes,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,Moderate,826.92,68.91,826.92,Established
87,54,Female,49,32.8,One-Year,DSL,1607.1999999999998,Yes,No,0,Expected Range,Expected Range,45-54,49-72 Months,Low,393.59999999999997,0.0,0.0,Loyal
88,48,Male,11,53.36,One-Year,DSL,586.96,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,640.3199999999999,53.36,640.3199999999999,Developing
89,39,Female,7,33.03,Two-Year,Fiber Optic,231.21,Yes,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Low,396.36,33.03,396.36,Developing
90,50,Male,17,109.13,One-Year,Fiber Optic,1855.21,Yes,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,Premium,1309.56,109.13,1309.56,Developing
91,45,Female,9,51.91,Two-Year,Fiber Optic,467.18999999999994,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,622.92,51.91,622.92,Developing
92,54,Male,18,80.16,Month-to-Month,No Internet,1442.88,No,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,High,961.92,80.16,961.92,Developing
93,37,Female,24,33.51,Month-to-Month,Fiber Optic,804.24,Yes,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Low,402.12,33.51,402.12,Developing
94,41,Male,23,90.02,Month-to-Month,No Internet,2070.46,No,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,High,1080.24,90.02,1080.24,Developing
95,41,Male,9,59.07,Month-to-Month,DSL,531.63,Yes,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Moderate,708.84,59.07,708.84,Developing
96,30,Male,3,110.81,One-Year,Fiber Optic,332.43,Yes,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,Premium,1329.72,110.81,1329.72,New
97,47,Male,11,109.93,One-Year,No Internet,1209.23,No,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Premium,1319.16,109.93,1319.16,Developing
98,47,Female,3,59.28,Month-to-Month,Fiber Optic,177.84,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,711.36,59.28,711.36,New
99,45,Male,44,111.09,Two-Year,No Internet,4887.96,No,Yes,1,Expected Range,Expected Range,45-54,25-48 Months,Premium,1333.08,111.09,1333.08,Established
100,42,Female,8,119.65,Two-Year,Fiber Optic,957.2,Yes,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Premium,1435.8000000000002,119.65,1435.8000000000002,Developing
101,30,Male,3,104.29,Month-to-Month,DSL,312.87,Yes,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,Premium,1251.48,104.29,1251.48,New
102,40,Male,0,106.04,Month-to-Month,Fiber Optic,0.0,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Premium,1272.48,106.04,1272.48,New
103,41,Female,20,52.41,Month-to-Month,Fiber Optic,1048.1999999999998,Yes,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Moderate,628.92,52.41,628.92,Developing
104,36,Female,20,81.9,Month-to-Month,No Internet,1638.0,No,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,High,982.8000000000001,81.9,982.8000000000001,Developing
105,43,Male,8,36.05,Month-to-Month,DSL,288.4,Yes,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,Low,432.59999999999997,36.05,432.59999999999997,Developing
106,49,Male,1,38.54,One-Year,No Internet,38.54,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Low,462.48,38.54,462.48,New
107,63,Male,10,119.9,Month-to-Month,No Internet,1199.0,No,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,Premium,1438.8000000000002,119.9,1438.8000000000002,Developing
108,46,Female,7,59.4,Month-to-Month,DSL,415.8,No,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,712.8,59.4,712.8,Developing
109,47,Female,22,97.34,Two-Year,Fiber Optic,2141.48,Yes,No,0,Expected Range,Expected Range,45-54,13-24 Months,High,1168.08,0.0,0.0,Developing
110,44,Male,18,102.6,One-Year,No Internet,1846.8,No,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Premium,1231.1999999999998,102.6,1231.1999999999998,Developing
111,25,Female,9,107.22,Two-Year,No Internet,964.98,No,Yes,1,Expected Range,Expected Range,25-34,7-12 Months,Premium,1286.6399999999999,107.22,1286.6399999999999,Developing
112,44,Female,4,119.79,Month-to-Month,Fiber Optic,479.16,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Premium,1437.48,119.79,1437.48,New
113,45,Female,88,51.73,Month-to-Month,Fiber Optic,4552.24,Yes,Yes,1,Expected Range,Expected Range,45-54,73+ Months,Moderate,620.76,51.73,620.76,Loyal
114,69,Female,12,33.63,One-Year,Fiber Optic,403.56000000000006,No,Yes,1,Expected Range,Expected Range,65+,7-12 Months,Low,403.56000000000006,33.63,403.56000000000006,Developing
115,43,Male,23,67.01,Month-to-Month,Fiber Optic,1541.23,Yes,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Moderate,804.1200000000001,67.01,804.1200000000001,Developing
116,48,Male,3,41.71,Month-to-Month,DSL,125.13,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Low,500.52,41.71,500.52,New
117,44,Male,13,32.02,One-Year,No Internet,416.2600000000001,No,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,Low,384.24,32.02,384.24,Developing
118,33,Male,0,62.44,One-Year,DSL,0.0,Yes,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,Moderate,749.28,62.44,749.28,New
119,56,Female,14,100.54,Month-to-Month,DSL,1407.5600000000002,Yes,Yes,1,Expected Range,Expected Range,55-64,13-24 Months,Premium,1206.48,100.54,1206.48,Developing
120,52,Female,66,80.96,Month-to-Month,Fiber Optic,5343.36,Yes,Yes,1,Expected Range,Expected Range,45-54,49-72 Months,High,971.52,80.96,971.52,Loyal
121,52,Male,9,58.15,Month-to-Month,Fiber Optic,523.35,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,697.8,58.15,697.8,Developing
122,35,Male,0,88.89,Month-to-Month,Fiber Optic,0.0,No,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,1066.68,88.89,1066.68,New
123,59,Male,0,50.88,Month-to-Month,Fiber Optic,0.0,No,Yes,1,Expected Range,Expected Range,55-64,0-6 Months,Moderate,610.5600000000001,50.88,610.5600000000001,New
124,30,Female,9,31.29,Month-to-Month,Fiber Optic,281.61,Yes,Yes,1,Expected Range,Expected Range,25-34,7-12 Months,Low,375.48,31.29,375.48,Developing
125,50,Male,3,98.79,Month-to-Month,DSL,296.37,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,High,1185.48,98.79,1185.48,New
126,66,Female,0,86.14,Two-Year,Fiber Optic,0.0,Yes,Yes,1,Expected Range,Expected Range,65+,0-6 Months,High,1033.68,86.14,1033.68,New
127,35,Male,28,98.61,One-Year,No Internet,2761.08,No,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,High,1183.32,98.61,1183.32,Established
128,39,Male,12,33.5,One-Year,Fiber Optic,402.0,Yes,No,0,Expected Range,Expected Range,35-44,7-12 Months,Low,402.0,0.0,0.0,Developing
129,45,Female,6,105.34,Month-to-Month,Fiber Optic,632.04,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Premium,1264.08,105.34,1264.08,New
130,39,Female,46,85.76,Month-to-Month,Fiber Optic,3944.96,Yes,Yes,1,Expected Range,Expected Range,35-44,25-48 Months,High,1029.1200000000001,85.76,1029.1200000000001,Established
131,29,Male,2,80.71,Month-to-Month,No Internet,161.42,No,Yes,1,Expected Range,Expected Range,25-34,0-6 Months,High,968.52,80.71,968.52,New
132,45,Female,62,86.22,Month-to-Month,DSL,5345.64,No,Yes,1,Expected Range,Expected Range,45-54,49-72 Months,High,1034.6399999999999,86.22,1034.6399999999999,Loyal
133,34,Female,7,107.8,Month-to-Month,Fiber Optic,754.6,Yes,Yes,1,Expected Range,Expected Range,25-34,7-12 Months,Premium,1293.6,107.8,1293.6,Developing
134,49,Female,43,82.82,One-Year,No Internet,3561.26,No,Yes,1,Expected Range,Expected Range,45-54,25-48 Months,High,993.8399999999999,82.82,993.8399999999999,Established
135,35,Male,18,82.29,One-Year,Fiber Optic,1481.22,No,Yes,1,Expected Range,Expected Range,35-44,13-24 Months,High,987.48,82.29,987.48,Developing
136,60,Female,35,119.16,One-Year,DSL,4170.599999999999,No,Yes,1,Expected Range,Expected Range,55-64,25-48 Months,Premium,1429.92,119.16,1429.92,Established
137,37,Female,82,98.11,Month-to-Month,Fiber Optic,8045.02,No,Yes,1,Expected Range,Expected Range,35-44,73+ Months,High,1177.32,98.11,1177.32,Loyal
138,41,Female,6,69.81,Two-Year,DSL,418.86,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,Moderate,837.72,69.81,837.72,New
139,53,Male,64,93.67,Month-to-Month,Fiber Optic,5994.88,No,Yes,1,Expected Range,Expected Range,45-54,49-72 Months,High,1124.04,93.67,1124.04,Loyal
140,32,Male,9,65.03,Month-to-Month,No Internet,585.27,No,Yes,1,Expected Range,Expected Range,25-34,7-12 Months,Moderate,780.36,65.03,780.36,Developing
141,47,Male,9,50.6,Month-to-Month,DSL,455.4,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,607.2,50.6,607.2,Developing
142,58,Female,8,83.72,One-Year,No Internet,669.76,No,Yes,1,Expected Range,Expected Range,55-64,7-12 Months,High,1004.64,83.72,1004.64,Developing
143,28,Male,15,113.54,Two-Year,DSL,1703.1,Yes,Yes,1,Expected Range,Expected Range,25-34,13-24 Months,Premium,1362.48,113.54,1362.48,Developing
144,46,Female,3,113.62,Month-to-Month,No Internet,340.86,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Premium,1363.44,113.62,1363.44,New
145,47,Female,16,60.77,Two-Year,Fiber Optic,972.32,Yes,No,0,Expected Range,Expected Range,45-54,13-24 Months,Moderate,729.24,0.0,0.0,Developing
146,52,Male,15,77.49,Two-Year,DSL,1162.35,Yes,No,0,Expected Range,Expected Range,45-54,13-24 Months,High,929.8799999999999,0.0,0.0,Developing
147,32,Female,28,49.05,Month-to-Month,DSL,1373.4,No,Yes,1,Expected Range,Expected Range,25-34,25-48 Months,Low,588.5999999999999,49.05,588.5999999999999,Established
148,31,Male,35,119.61,Month-to-Month,No Internet,4186.35,No,Yes,1,Expected Range,Expected Range,25-34,25-48 Months,Premium,1435.32,119.61,1435.32,Established
149,50,Female,11,118.3,Month-to-Month,DSL,1301.3,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Premium,1419.6,118.3,1419.6,Developing
150,47,Male,7,88.46,Two-Year,DSL,619.2199999999999,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,High,1061.52,88.46,1061.52,Developing
151,47,Female,6,102.4,Month-to-Month,Fiber Optic,614.4000000000001,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Premium,1228.8000000000002,102.4,1228.8000000000002,New
152,48,Female,4,94.36,One-Year,Fiber Optic,377.44,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,High,1132.32,94.36,1132.32,New
153,38,Female,1,83.38,Month-to-Month,Fiber Optic,83.38,Yes,Yes,1,Expected Range,Expected Range,35-44,0-6 Months,High,1000.56,83.38,1000.56,New
154,47,Female,8,34.8,One-Year,DSL,278.4,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Low,417.59999999999997,34.8,417.59999999999997,Developing
155,47,Female,6,70.93,Month-to-Month,DSL,425.58,No,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Moderate,851.1600000000001,70.93,851.1600000000001,New
156,37,Female,67,90.73,One-Year,DSL,6078.91,No,Yes,1,Expected Range,Expected Range,35-44,49-72 Months,High,1088.76,90.73,1088.76,Loyal
157,63,Female,16,90.98,Two-Year,DSL,1455.68,Yes,No,0,Expected Range,Expected Range,55-64,13-24 Months,High,1091.76,0.0,0.0,Developing
158,49,Female,8,63.58,Two-Year,Fiber Optic,508.64,Yes,Yes,1,Expected Range,Expected Range,45-54,7-12 Months,Moderate,762.96,63.58,762.96,Developing
159,33,Male,17,114.75,Two-Year,No Internet,1950.75,No,Yes,1,Expected Range,Expected Range,25-34,13-24 Months,Premium,1377.0,114.75,1377.0,Developing
160,51,Female,2,45.06,Month-to-Month,DSL,90.12,Yes,Yes,1,Expected Range,Expected Range,45-54,0-6 Months,Low,540.72,45.06,540.72,New
161,35,Female,11,75.03,One-Year,Fiber Optic,825.33,Yes,Yes,1,Expected Range,Expected Range,35-44,7-12 Months,High,900.36,75.03,900.36,Developing
162,52,Female,19,92.18,Month-to-Month,Fiber Optic,1751.42,Yes,Yes,1,Expected Range,Expected Range,45-54,13-24 Months,High,1106.16,92.18,1106.16,Developing
